Data,Otwarcie,Zamkniecie
2021-04-01,1942.53,1954.38
2021-04-06,1965.18,2012.87
2021-04-07,2012.08,1998.73
2021-04-08,2004.55,1980.32
2021-04-09,1981.23,1975.11
2021-04-12,1975.05,1982.58
2021-04-13,1983.4,1974.73
2021-04-14,1986.19,2011.96
2021-04-15,2015.11,2019.29
2021-04-16,2019.5,2012.27
2021-04-19,2016.04,1998.99
2021-04-20,2001.93,1987.76
2021-04-21,1987.94,1982.4
2021-04-22,1986.54,1989.73
2021-04-23,1990.18,1986.63
2021-04-26,1994.54,2005.1
2021-04-27,2006.17,1998.92
2021-04-28,2000.4,2029.64
2021-04-29,2043.59,2050.69
2021-04-30,2061,2037.59
2021-05-04,2046.24,2004.04
2021-05-05,2015.97,2047.36
2021-05-06,2053.2,2046.67
2021-05-07,2061.36,2097.31
2021-05-10,2115.79,2115.7
2021-05-11,2108.43,2110.48
2021-05-12,2112.89,2091.39
2021-05-13,2083.41,2089.32
2021-05-14,2096.96,2092.8
2021-05-17,2102.62,2128.49
2021-05-18,2142.32,2136.54
2021-05-19,2123.9,2115.15
2021-05-20,2121.01,2131.18
2021-05-21,2130.95,2139.06
2021-05-24,2138.36,2134.18
2021-05-25,2144,2153.78
2021-05-26,2156.44,2164.89
2021-05-27,2167.52,2207.47
2021-05-28,2210.53,2236.31
2021-05-31,2237.25,2233.36
2021-06-01,2234.87,2233.37
2021-06-02,2234.69,2252.26
2021-06-04,2252.84,2254.59
2021-06-07,2254.62,2246.63
2021-06-08,2241.03,2237.61
2021-06-09,2239.73,2218.45
2021-06-10,2217.7,2236.89
2021-06-11,2238.75,2224.67
2021-06-14,2229.99,2253.2
2021-06-15,2262.55,2230.37
2021-06-16,2232.65,2225.27
2021-06-17,2215.45,2211.58
2021-06-18,2208.65,2220.68
2021-06-21,2210.86,2219.45
2021-06-22,2226.22,2220.53
2021-06-23,2222.93,2233.7
2021-06-24,2237.56,2273.11
2021-06-25,2271.93,2282.46
2021-06-28,2280.67,2285.81
2021-06-29,2281.71,2258.24
2021-06-30,2257.62,2218.41
2021-07-01,2223.84,2250.58
2021-07-02,2258.56,2252.18
2021-07-05,2255.07,2258.82
2021-07-06,2262.83,2228.46
2021-07-07,2234.52,2285.79
2021-07-08,2280.62,2234.6
2021-07-09,2241.61,2251.78
2021-07-12,2253.56,2255.48
2021-07-13,2259,2264.26
2021-07-14,2266.88,2268.57
2021-07-15,2268.01,2260.49
2021-07-16,2260.8,2258.1
2021-07-19,2254.48,2205.86
2021-07-20,2210.63,2221.28
2021-07-21,2215.48,2241.97
2021-07-22,2247.69,2229.86
2021-07-23,2234.32,2242.41
2021-07-26,2249.57,2240.65
2021-07-27,2241.05,2224.59
2021-07-28,2223.2,2245.76
2021-07-29,2257.08,2265.69
2021-07-30,2254.07,2253.45
2021-08-02,2261.61,2253.28
2021-08-03,2261.94,2257.73
2021-08-04,2262.05,2272.09
2021-08-05,2270.83,2270.67
2021-08-06,2272.53,2273.89
2021-08-09,2271.56,2274.48
2021-08-10,2275.63,2277.23
2021-08-11,2272.93,2283.69
2021-08-12,2281.08,2297.72
2021-08-13,2298.99,2302.03
2021-08-16,2289.95,2282.1
2021-08-17,2282.7,2300.04
2021-08-18,2300.19,2284.97
2021-08-19,2270.18,2260.02
2021-08-20,2263.51,2255.56
2021-08-23,2264.45,2287.52
2021-08-24,2293.79,2300.9
2021-08-25,2297.64,2325.19
2021-08-26,2321.75,2309.44
2021-08-27,2310.63,2323.77
2021-08-30,2324.67,2350.23
2021-08-31,2347.73,2368.03
2021-09-01,2367.66,2371.16
2021-09-02,2375.04,2391.94
2021-09-03,2392.26,2380.82
2021-09-06,2379.29,2416.38
2021-09-07,2409.03,2394.79
2021-09-08,2390.92,2364.63
2021-09-09,2356.6,2356.39
2021-09-10,2357.98,2360.7
2021-09-13,2365.69,2387.74
2021-09-14,2367.42,2376.01
2021-09-15,2365.73,2355.23
2021-09-16,2351.2,2357.28
2021-09-17,2356.48,2333.01
2021-09-20,2316.96,2272.52
2021-09-21,2271.99,2278.11
2021-09-22,2295.39,2334.1
2021-09-23,2345.99,2320.51
2021-09-24,2323.41,2299.18
2021-09-27,2308.17,2292.47
2021-09-28,2289.15,2275.68
2021-09-29,2277.48,2290.97
2021-09-30,2299.33,2310.29
2021-10-01,2299.01,2327.88
2021-10-04,2325.08,2338.09
2021-10-05,2338.92,2364.72
2021-10-06,2365.2,2349.46
2021-10-07,2353.18,2359.54
2021-10-08,2360.56,2411.12
2021-10-11,2413.12,2457.36
2021-10-12,2449.09,2472.33
2021-10-13,2471.12,2451.89
2021-10-14,2455.6,2459.5
2021-10-15,2459.71,2453.98
2021-10-18,2458.45,2459.81
2021-10-19,2461.73,2447.54
2021-10-20,2447.07,2443.11
2021-10-21,2433.75,2427.35
2021-10-22,2425.02,2417.09
2021-10-25,2415.52,2427.19
2021-10-26,2429.41,2425.29
2021-10-27,2423.22,2404.82
2021-10-28,2405.47,2392.67
2021-10-29,2390.05,2405.05
2021-11-02,2411.73,2407.53
2021-11-03,2411.54,2380.11
2021-11-04,2386.85,2438.8
2021-11-05,2439.09,2439.16
2021-11-08,2444.16,2423.92
2021-11-09,2420.42,2395.05
2021-11-10,2393.48,2366.59
2021-11-12,2372.28,2358.23
2021-11-15,2358.49,2335.04
2021-11-16,2336.33,2340.03
2021-11-17,2346.41,2317.49
2021-11-18,2316.9,2271.31
2021-11-19,2271.91,2248.18
2021-11-22,2251.08,2247.82
2021-11-23,2245.04,2261.15
2021-11-24,2268.15,2239.75
2021-11-25,2244.79,2229.44
2021-11-26,2193.9,2143.13
2021-11-29,2148.59,2148.62
2021-11-30,2133.69,2194.37
2021-12-01,2205.85,2217.18
2021-12-02,2208.07,2201.86
2021-12-03,2209.95,2179.71
2021-12-06,2184.6,2190.67
2021-12-07,2201.86,2231.12
2021-12-08,2234.64,2219.62
2021-12-09,2214.59,2212.81
2021-12-10,2212.19,2213.78
2021-12-13,2216.22,2214.38
2021-12-14,2217.45,2211.81
2021-12-15,2211.49,2161.04
2021-12-16,2177.87,2213.89
2021-12-17,2206.89,2194.56
2021-12-20,2168.37,2189.91
2021-12-21,2193.98,2185.47
2021-12-22,2190.04,2212.32
2021-12-23,2215.19,2225.8
2021-12-27,2226.82,2226.24
2021-12-28,2222.54,2252.43
2021-12-29,2245.28,2260.7
2021-12-30,2263.39,2266.92
2022-01-03,2272.18,2286.5
2022-01-04,2293.18,2300.68
2022-01-05,2296.7,2310.97
2022-01-07,2309.61,2311.93
2022-01-10,2311.34,2291.23
2022-01-11,2300.38,2344.45
2022-01-12,2350.99,2411.11
2022-01-13,2406.83,2407.62
2022-01-14,2402.92,2383.16
2022-01-17,2378.9,2365.29
2022-01-18,2361.68,2317.36
2022-01-19,2304.66,2316.94
2022-01-20,2321.6,2308.94
2022-01-21,2298.12,2273.81
2022-01-24,2270.73,2170.36
2022-01-25,2170.85,2199.6
2022-01-26,2204.53,2233.18
2022-01-27,2218.18,2234.33
2022-01-28,2232.26,2183.7
2022-01-31,2198.34,2209.62
2022-02-01,2219.99,2224.28
2022-02-02,2229.44,2252.92
2022-02-03,2249.4,2235.15
2022-02-04,2239.14,2174.57
2022-02-07,2181.87,2171.62
2022-02-08,2176,2215.12
2022-02-09,2220.47,2235.93
2022-02-10,2235.91,2213.21
2022-02-11,2203.02,2203.13
2022-02-14,2154.92,2161.79
2022-02-15,2170.43,2209.7
2022-02-16,2224.29,2212.73
2022-02-17,2215.9,2175.61
2022-02-18,2172.08,2143.28
2022-02-21,2149.19,2069.53
2022-02-22,2038.58,2101.31
2022-02-23,2110.35,2038.99
2022-02-24,1929.14,1817.45
2022-02-25,1850.34,1970.78
2022-02-28,1937.89,1999.88
2022-03-01,2006.15,1967.01
2022-03-02,1966.4,2043.96
2022-03-03,2053.82,2009.56
2022-03-04,2000.16,1918.75
2022-03-07,1898.74,1934.94
2022-03-08,1922.98,1908.1
2022-03-09,1937.96,1973.25
2022-03-10,1983.05,1970.27
2022-03-11,1983.15,2033.49
2022-03-14,2038.11,1972.14
2022-03-15,1968.78,1999.93
2022-03-16,2018.99,2060.07
2022-03-17,2070.66,2125.29
2022-03-18,2122.59,2099.26
2022-03-21,2098.58,2093.04
2022-03-22,2096.64,2121.52
2022-03-23,2129.62,2120.86
2022-03-24,2130.03,2138.8
2022-03-25,2142.22,2115.58
2022-03-28,2112.73,2123.12
2022-03-29,2134.55,2171.56
2022-03-30,2178.29,2179.56
2022-03-31,2177.34,2133.05
2022-04-01,2143.61,2164.81
2022-04-04,2171.43,2157.79
2022-04-05,2164.28,2123.49
2022-04-06,2124.38,2107.82
2022-04-07,2110.89,2076.63
2022-04-08,2089.75,2085.07
2022-04-11,2081.23,2121.65
2022-04-12,2115.34,2094.01
2022-04-13,2103.07,2104.32
2022-04-14,2109.37,2093.17
2022-04-19,2098.17,2068.52
2022-04-20,2076.95,2047.81
2022-04-21,2059.4,2028.76
2022-04-22,2028.28,1973.31
2022-04-25,1951.03,1919.55
2022-04-26,1938.86,1896.46
2022-04-27,1897.03,1883.09
2022-04-28,1903.66,1884.42
2022-04-29,1898.54,1858.12
2022-05-02,1854.26,1824.05
2022-05-04,1834.06,1812.56
2022-05-05,1832.6,1765.85
2022-05-06,1763.62,1765.14
2022-05-09,1757.77,1727.34
2022-05-10,1735.81,1719.24
2022-05-11,1728.7,1718.07
2022-05-12,1692.71,1691.62
2022-05-13,1709.53,1765.63
2022-05-16,1761.15,1762.22
2022-05-17,1777.41,1800.55
2022-05-18,1807.17,1801.68
2022-05-19,1780.36,1776.4
2022-05-20,1787.07,1782.66
2022-05-23,1798.11,1836.87
2022-05-24,1825.08,1810.98
2022-05-25,1823.39,1796.58
2022-05-26,1798.7,1827.01
2022-05-27,1827.36,1810.68
2022-05-30,1829.08,1858.6
2022-05-31,1859.04,1842.93
2022-06-01,1846.59,1822.57
2022-06-02,1825.19,1833.76
2022-06-03,1845.65,1819.99
2022-06-06,1827.04,1849.55
